被解救的姜戈,8.7,388915人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
心迷宫,8.7,300904人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
纵横四海,8.8,249288人评价,香港浪漫主义警匪动作片的巅峰之作。
贫民窟的百万富翁,8.6,522159人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
记忆碎片,8.6,396906人评价,一个针管引发的血案。
黑天鹅,8.5,581006人评价,黑暗之美。
三块广告牌,8.7,537499人评价,怼天怼地，你走后，她与世界为敌。
荒蛮故事,8.8,247867人评价,始于荒诞，止于更荒诞。
达拉斯买家俱乐部,8.8,285505人评价,Jared Leto的腿比女人还美！
哪吒闹海,9.0,0人评价,想你时你在闹海。
我是山姆,8.9,176812人评价,爱并不需要智商 。
你的名字。,8.4,843931人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
花样年华,8.6,361098人评价,偷情本没有这样美。
雨人,8.7,282931人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
卢旺达饭店,8.9,175830人评价,当这个世界闭上双眼，他却敞开了怀抱。
天书奇谭,9.2,109933人评价,传奇的年代，醉人的童话。
头号玩家,8.7,900633人评价,写给影迷，动漫迷和游戏迷的一封情书。
头脑特工队,8.7,368349人评价,愿我们都不用长大，每一座城堡都能永远存在。
你看起来好像很好吃,8.8,217651人评价,感情不分食草或者食肉。
功夫,8.5,535670人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
海边的曼彻斯特,8.6,316757人评价,我们都有权利不与自己的过去和解。
无敌破坏王,8.7,332845人评价,迪士尼和皮克斯拿错剧本的产物。
未麻的部屋,8.9,162989人评价,好的剧本是，就算你猜到了结局也猜不到全部。
恋恋笔记本,8.5,412625人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
忠犬八公物语,9.1,109228人评价,养狗三日，便会对你终其一生。
冰川时代,8.5,407334人评价,松鼠才是角儿。
一个叫欧维的男人决定去死,8.8,218334人评价,惠及一生的美丽。
模仿游戏,8.6,381839人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
二十二,8.7,187031人评价,有一些东西不应该被遗忘。
虎口脱险,8.9,150387人评价,永远看不腻的喜剧。
黑客帝国3：矩阵革命,8.7,250886人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
雨中曲,9.0,133611人评价,骨灰级歌舞片。
海洋,9.1,121034人评价,大海啊，不全是水。
海街日记,8.7,236428人评价,是枝裕和的家庭习作。
人工智能,8.6,277500人评价,对爱的执着，可以超越一切。
房间,8.8,248470人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
魔女宅急便,8.6,300223人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
恐怖游轮,8.4,496215人评价,不要企图在重复中寻找已经失去的爱。
燃情岁月,8.8,196096人评价,传奇，不是每个人都可以拥有。
惊魂记,8.9,141000人评价,故事的反转与反转，分裂电影的始祖。
穿越时空的少女,8.6,268248人评价,爱上未来的你。 
罗生门,8.8,192672人评价,人生的N种可能性。
魂断蓝桥,8.8,175336人评价,中国式内在的美国电影。
釜山行,8.4,639681人评价,揭露人性的丧尸题材力作。
完美陌生人,8.5,356905人评价,来啊，互相伤害啊！
疯狂的石头,8.4,494378人评价,中国版《两杆大烟枪》。
奇迹男孩,8.6,357077人评价,世界不完美，爱会有奇迹。
猜火车,8.5,319246人评价,不可猜的青春迷笛。 
终结者2：审判日,8.7,219760人评价,少见的超越首部的续集，动作片中的经典。
人生果实,9.6,56573人评价,土壤没有落叶不会肥沃，没有了你就不算人生。
阿飞正传,8.5,318127人评价,王家卫是一种风格，张国荣是一个代表。
可可西里,8.7,185090人评价,坚硬的信仰。
香水,8.5,383854人评价,一个单凭体香达到高潮的男人。
初恋这件小事,8.4,682379人评价,黑小鸭速效美白记。
牯岭街少年杀人事件,8.8,162111人评价,弱者送给弱者的一刀。
新世界,8.8,178264人评价,要做就做得狠一点，这样才能活下去。
谍影重重2,8.6,233694人评价,谁说王家卫镜头很晃？
2001太空漫游,8.8,171162人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。
谍影重重,8.6,278685人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
战争之王,8.6,239209人评价,做一颗让别人需要你的棋子。
爱在午夜降临前,8.8,183322人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
地球上的星星,8.9,131367人评价,天使保护事件始末。
青蛇,8.5,324992人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
浪潮,8.7,184178人评价,世界离独裁只有五天。
朗读者,8.5,346018人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
新龙门客栈,8.6,279609人评价,嬉笑怒骂，调风动月。
无耻混蛋,8.5,316989人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
源代码,8.4,546158人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
绿里奇迹,8.8,162906人评价,天使暂时离开。
步履不停,8.8,154174人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
哈利·波特与阿兹卡班的囚徒,8.5,304974人评价,不一样的导演，不一样的哈利·波特。
小萝莉的猴神大叔,8.5,300856人评价,宝莱坞的萝莉与大叔。
血钻,8.6,216259人评价,每个美丽事物背后都是滴血的现实。
城市之光,9.3,72107人评价,永远的小人物，伟大的卓别林。
再次出发之纽约遇见你,8.5,264988人评价,爱我就给我看你的播放列表。
彗星来的那一夜,8.5,304856人评价,小成本大魅力。
追随,8.9,116395人评价,诺兰的牛逼来源于内心散发出的恐惧。
疯狂的麦克斯4：狂暴之路,8.6,323994人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
哈利·波特与密室,8.5,322523人评价,魔法的密室之门已打开...
一次别离,8.7,178349人评价,只有有信仰的人才能说出事实真相。
东京物语,9.2,79546人评价,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
聚焦,8.8,184764人评价,新闻人的理性求真。
遗愿清单,8.6,214216人评价,用剩余不多的时间，去燃烧整个生命。
小偷家族,8.7,493308人评价,我们组成了家。
撞车,8.6,230973人评价,天使与魔鬼的冲撞。
发条橙,8.5,257792人评价,我完全康复了。
色，戒,8.4,402737人评价,假戏真情，爱欲深海
梦之安魂曲,8.7,152185人评价,一场没有春天的噩梦。
黑鹰坠落,8.6,184154人评价,还原真实而残酷的战争。
驴得水,8.3,556785人评价,过去的如果就让它过去了，未来只会越来越糟！
大佛普拉斯,8.7,216152人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。
我爱你,9.0,93152人评价,你要相信，这世上真的有爱存在，不管在什么年纪 
E.T. 外星人,8.6,226676人评价,生病的E.T.皮肤的颜色就像柿子饼。
末路狂花,8.7,147470人评价,没有了退路，只好飞向自由。
千钧一发,8.7,144761人评价,一部能引人思考的科幻励志片。
变脸,8.5,289203人评价,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
这个男人来自地球,8.5,259560人评价,科幻真正的魅力不是视觉效果能取代的。 
